Entity,Code,Year,Gold (New York Market Price) (Laurence & Williamson (2017))
World,OWID_WRL,1953,1125.25
World,OWID_WRL,1954,1125.25
World,OWID_WRL,1955,1125.25
World,OWID_WRL,1956,1125.25
World,OWID_WRL,1957,1125.25
World,OWID_WRL,1958,1125.25
World,OWID_WRL,1959,1125.25
World,OWID_WRL,1960,1125.25
World,OWID_WRL,1961,1125.25
World,OWID_WRL,1962,1125.25
World,OWID_WRL,1963,1125.25
World,OWID_WRL,1964,1125.25
World,OWID_WRL,1965,1125.25
World,OWID_WRL,1966,1125.25
World,OWID_WRL,1967,1125.25
World,OWID_WRL,1968,1262.2089999999998
World,OWID_WRL,1969,1334.5465
World,OWID_WRL,1970,1170.5814999999998
World,OWID_WRL,1971,1326.1875
World,OWID_WRL,1972,1883.99
World,OWID_WRL,1973,3144.5915
World,OWID_WRL,1974,5135.641
World,OWID_WRL,1975,5191.9035
World,OWID_WRL,1976,4029.0379999999996
World,OWID_WRL,1977,4768.1665
World,OWID_WRL,1978,6222.6325
World,OWID_WRL,1979,9886.125
World,OWID_WRL,1980,19693.803999999996
World,OWID_WRL,1981,14777.426
World,OWID_WRL,1982,12085.5065
World,OWID_WRL,1983,13631.599999999999
World,OWID_WRL,1984,11595.219000000001
World,OWID_WRL,1985,10212.769
World,OWID_WRL,1986,11838.916
World,OWID_WRL,1987,14401.592499999999
World,OWID_WRL,1988,14091.6665
World,OWID_WRL,1989,12299.946999999998
World,OWID_WRL,1990,12375.4995
World,OWID_WRL,1991,11679.7735
World,OWID_WRL,1992,11090.7855
World,OWID_WRL,1993,11603.2565
World,OWID_WRL,1994,12391.253
World,OWID_WRL,1995,12393.824999999999
World,OWID_WRL,1996,12509.243499999999
World,OWID_WRL,1997,10686.3385
World,OWID_WRL,1998,9491.966
World,OWID_WRL,1999,8999.1065
World,OWID_WRL,2000,9005.215
World,OWID_WRL,2001,8751.873
World,OWID_WRL,2002,10009.259499999998
World,OWID_WRL,2003,11728.32
World,OWID_WRL,2004,13198.217999999999
World,OWID_WRL,2005,14338.9
World,OWID_WRL,2006,19482.899999999998
World,OWID_WRL,2007,22472.85
World,OWID_WRL,2008,28099.1
World,OWID_WRL,2009,31346.25
World,OWID_WRL,2010,39448.049999999996
World,OWID_WRL,2011,50539.799999999996
World,OWID_WRL,2012,54655
World,OWID_WRL,2013,45492.25
World,OWID_WRL,2014,40830.5
World,OWID_WRL,2015,37615.5
